ROWID,TRUTH,TRAININGSET
1bill.txt,13,0
2bill.txt,16,0
3bill.txt,20,0
4bill.txt,20,0
5bill.txt,6,0
6bill.txt,10,0
7bill.txt,14,0
8bill.txt,3,0
9bill.txt,6,0
10bill.txt,5,0
11bill.txt,1,0
12bill.txt,3,0
13bill.txt,5,0
14bill.txt,3,0
15bill.txt,20,0
16bill.txt,12,0
17bill.txt,21,0
18bill.txt,12,0
19bill.txt,13,0
20bill.txt,13,0
21bill.txt,13,0
22bill.txt,19,0
23bill.txt,3,0
24bill.txt,20,0
25bill.txt,12,0
26bill.txt,12,0
27bill.txt,20,0
28bill.txt,20,0
29bill.txt,7,0
30bill.txt,18,0
31bill.txt,13,0
32bill.txt,15,0
33bill.txt,13,0
34bill.txt,13,0
35bill.txt,20,0
36bill.txt,5,0
37bill.txt,3,0
38bill.txt,14,0
39bill.txt,16,0
40bill.txt,14,0
41bill.txt,5,0
42bill.txt,2,0
43bill.txt,13,0
44bill.txt,20,0
45bill.txt,12,0
46bill.txt,13,0
47bill.txt,3,0
48bill.txt,5,0
49bill.txt,15,0
50bill.txt,12,0
51bill.txt,5,0
52bill.txt,3,0
53bill.txt,20,0
54bill.txt,21,0
55bill.txt,13,0
56bill.txt,5,0
57bill.txt,7,0
58bill.txt,20,0
59bill.txt,5,0
60bill.txt,21,0
61bill.txt,3,0
62bill.txt,13,0
63bill.txt,18,0
64bill.txt,18,0
65bill.txt,4,1
66bill.txt,18,0
67bill.txt,7,0
68bill.txt,20,0
69bill.txt,21,0
70bill.txt,15,0
71bill.txt,20,0
72bill.txt,13,0
73bill.txt,20,0
74bill.txt,20,0
75bill.txt,5,0
76bill.txt,14,0
77bill.txt,20,0
78bill.txt,3,0
79bill.txt,12,0
80bill.txt,12,0
81bill.txt,7,0
82bill.txt,7,0
83bill.txt,15,0
84bill.txt,1,0
85bill.txt,16,0
86bill.txt,20,0
87bill.txt,1,0
88bill.txt,5,0
89bill.txt,10,0
90bill.txt,10,0
91bill.txt,14,0
92bill.txt,13,0
93bill.txt,13,0
94bill.txt,3,0
95bill.txt,20,0
96bill.txt,3,0
97bill.txt,12,0
98bill.txt,3,0
99bill.txt,3,0
100bill.txt,20,0
101bill.txt,5,0
102bill.txt,6,0
103bill.txt,20,0
104bill.txt,12,0
105bill.txt,4,0
106bill.txt,20,0
107bill.txt,1,0
108bill.txt,5,0
109bill.txt,8,0
110bill.txt,10,0
111bill.txt,20,0
112bill.txt,18,0
113bill.txt,5,0
114bill.txt,15,0
115bill.txt,1,0
116bill.txt,16,0
117bill.txt,1,0
118bill.txt,20,0
119bill.txt,3,0
120bill.txt,13,0
121bill.txt,3,0
122bill.txt,20,0
123bill.txt,20,0
124bill.txt,15,0
125bill.txt,3,0
126bill.txt,19,0
127bill.txt,15,0
128bill.txt,13,0
129bill.txt,17,0
130bill.txt,99,0
131bill.txt,99,0
132bill.txt,10,0
133bill.txt,2,0
134bill.txt,19,0
135bill.txt,13,0
136bill.txt,13,0
137bill.txt,99,0
138bill.txt,13,0
139bill.txt,13,0
140bill.txt,99,0
141bill.txt,20,0
142bill.txt,14,0
143bill.txt,16,0
144bill.txt,20,0
145bill.txt,13,0
146bill.txt,20,0
147bill.txt,99,0
148bill.txt,4,0
149bill.txt,20,0
150bill.txt,5,0
151bill.txt,99,0
152bill.txt,99,0
153bill.txt,20,0
154bill.txt,12,0
155bill.txt,12,0
156bill.txt,21,0
157bill.txt,12,0
158bill.txt,13,0
159bill.txt,14,0
160bill.txt,99,0
161bill.txt,99,0
162bill.txt,12,0
163bill.txt,10,0
164bill.txt,3,0
165bill.txt,5,0
166bill.txt,12,0
167bill.txt,4,0
168bill.txt,14,0
169bill.txt,5,0
170bill.txt,8,0
171bill.txt,3,0
172bill.txt,20,0
173bill.txt,21,0
174bill.txt,13,0
175bill.txt,3,0
176bill.txt,99,0
177bill.txt,16,0
178bill.txt,13,0
179bill.txt,21,0
180bill.txt,5,0
181bill.txt,17,0
182bill.txt,16,0
183bill.txt,99,0
184bill.txt,2,0
185bill.txt,17,0
186bill.txt,8,0
187bill.txt,1,0
188bill.txt,19,0
189bill.txt,20,0
190bill.txt,3,0
191bill.txt,20,0
192bill.txt,1,0
193bill.txt,18,0
194bill.txt,12,0
195bill.txt,14,0
196bill.txt,20,0
197bill.txt,99,0
198bill.txt,99,0
199bill.txt,1,0
200bill.txt,3,0
201bill.txt,6,0
202bill.txt,15,0
203bill.txt,16,0
204bill.txt,99,1
205bill.txt,2,0
206bill.txt,13,0
207bill.txt,7,0
208bill.txt,16,0
209bill.txt,3,0
210bill.txt,5,0
211bill.txt,2,0
212bill.txt,20,0
213bill.txt,1,0
214bill.txt,10,0
215bill.txt,3,0
216bill.txt,14,0
217bill.txt,14,0
218bill.txt,16,0
219bill.txt,3,0
220bill.txt,1,0
221bill.txt,7,0
222bill.txt,14,0
223bill.txt,3,0
224bill.txt,20,0
225bill.txt,99,0
226bill.txt,99,0
227bill.txt,18,1
228bill.txt,99,0
229bill.txt,19,0
230bill.txt,3,0
231bill.txt,20,0
232bill.txt,15,0
233bill.txt,15,0
234bill.txt,2,0
235bill.txt,1,0
